date,value
01 January 1996,79.35
01 February 1996,75.78
01 March 1996,86.32
01 April 1996,72.6
01 May 1996,74.86
01 June 1996,83.81
01 July 1996,79.8
01 August 1996,62.41
01 September 1996,85.41
01 October 1996,83.11
01 November 1996,84.21
01 December 1996,89.7
01 January 1997,78.64
01 February 1997,77.42
01 March 1997,89.86
01 April 1997,81.27
01 May 1997,78.68
01 June 1997,89.51
01 July 1997,83.67
01 August 1997,69.8
01 September 1997,91.09
01 October 1997,89.43
01 November 1997,91.04
01 December 1997,92.87
01 January 1998,81.87
01 February 1998,85.36
01 March 1998,92.98
01 April 1998,81.09
01 May 1998,85.64
01 June 1998,91.14
01 July 1998,83.46
01 August 1998,66.37
01 September 1998,93.34
01 October 1998,85.93
01 November 1998,86.81
01 December 1998,93.3
01 January 1999,81.59
01 February 1999,81.77
01 March 1999,91.24
01 April 1999,79.45
01 May 1999,86.99
01 June 1999,96.6
01 July 1999,97.99
01 August 1999,79.13
01 September 1999,103.56
01 October 1999,100.89
01 November 1999,99.4
01 December 1999,111.8
01 January 2000,95.3
01 February 2000,97.77
01 March 2000,116.23
01 April 2000,100.98
01 May 2000,104.07
01 June 2000,114.64
01 July 2000,107.62
01 August 2000,96.12
01 September 2000,123.5
01 October 2000,116.12
01 November 2000,116.86
01 December 2000,128.61
01 January 2001,100.56
01 February 2001,103.05
01 March 2001,119.06
01 April 2001,92.46
01 May 2001,98.75
01 June 2001,111.14
01 July 2001,96.13
01 August 2001,79.72
01 September 2001,102.07
01 October 2001,96.18
01 November 2001,101.26
01 December 2001,109.85
01 January 2002,89.52
01 February 2002,89.27
01 March 2002,104.35
01 April 2002,87.05
01 May 2002,89.33
01 June 2002,102.2
01 July 2002,88.13
01 August 2002,75.68
01 September 2002,99.48
01 October 2002,96.4
01 November 2002,96.16
01 December 2002,101
01 January 2003,89.34
01 February 2003,86.91
01 March 2003,98.9
01 April 2003,85.54
01 May 2003,85.25
01 June 2003,101.14
01 July 2003,91.8
01 August 2003,76.98
01 September 2003,104.33
01 October 2003,99.72
01 November 2003,101.06
01 December 2003,109
01 January 2004,89.88
01 February 2004,92.27
01 March 2004,105.11
01 April 2004,91.5
01 May 2004,92.56
01 June 2004,104.35
01 July 2004,96.21
01 August 2004,79.58
01 September 2004,105.43
01 October 2004,99.18
01 November 2004,99.77
01 December 2004,113.55
01 January 2005,91.65
01 February 2005,90.56
01 March 2005,105.52
01 April 2005,92.18
01 May 2005,91.22
01 June 2005,109.04
01 July 2005,99.26
01 August 2005,83.36
01 September 2005,110.8
01 October 2005,104.95
01 November 2005,107.07
01 December 2005,114.4
01 January 2006,99.16
01 February 2006,99.86
01 March 2006,116.14
01 April 2006,103.48
01 May 2006,103.07
01 June 2006,119.32
01 July 2006,107.94
01 August 2006,90.59
01 September 2006,121.8
01 October 2006,117.11
01 November 2006,113.71
01 December 2006,120.37
01 January 2007,103.93
01 February 2007,104.1
01 March 2007,125.72
01 April 2007,104.7
01 May 2007,108.45
01 June 2007,123.11
01 July 2007,108.89
01 August 2007,94.07
01 September 2007,121.88
01 October 2007,116.81
01 November 2007,115.87
01 December 2007,127.14
01 January 2008,109.45
01 February 2008,105.23
01 March 2008,121.32
01 April 2008,108.78
01 May 2008,103.2
01 June 2008,117.93
01 July 2008,103.76
01 August 2008,89.27
01 September 2008,109.5
01 October 2008,104.02
01 November 2008,100.12
01 December 2008,101.18
01 January 2009,77.38
01 February 2009,75.19
01 March 2009,86.4
01 April 2009,74.13
01 May 2009,74.1
01 June 2009,85.61
01 July 2009,79.9
01 August 2009,65.36
01 September 2009,88.09
01 October 2009,84.6
01 November 2009,88.09
01 December 2009,102.52
01 January 2010,79.28
01 February 2010,78.74
01 March 2010,94.62
01 April 2010,84.66
01 May 2010,85.2
01 June 2010,103.94
01 July 2010,89.87
01 August 2010,78.14
01 September 2010,96.5
01 October 2010,94.68
01 November 2010,101.77
01 December 2010,103.48
01 January 2011,92.57
01 February 2011,89.16
01 March 2011,104.48
01 April 2011,89.45
01 May 2011,93.4
01 June 2011,102.9
01 July 2011,93.77
01 August 2011,77.58
01 September 2011,95.04
01 October 2011,91.77
01 November 2011,93.37
01 December 2011,98.34
01 January 2012,86.44
01 February 2012,85.04
01 March 2012,97.8
